SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1002,Union City
MLS Listing,,Multi-Family (2-4 Unit),2003 NEW YORK Ave,Union City
MLS Listing,,Single Family Residential,626 13th St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #416,Union City
MLS Listing,,Multi-Family (5+ Unit),2014 Bergenline Ave,Union City
MLS Listing,,Condo/Co-op,209-211 40TH St Unit 3A,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1717,Union City
MLS Listing,,Condo/Co-op,4315 PARK Ave Unit 7K,Union City
MLS Listing,,Condo/Co-op,213 48TH St Unit 3A,Union City
MLS Listing,,Condo/Co-op,209 40TH St Unit 1A,Union City
MLS Listing,,Multi-Family (2-4 Unit),830 28TH St,Union City
MLS Listing,,Multi-Family (2-4 Unit),611 22nd St,Union City
MLS Listing,,Multi-Family (5+ Unit),527 42nd St,Union City
MLS Listing,,Multi-Family (2-4 Unit),423 4TH St,Union City
MLS Listing,,Condo/Co-op,620 38th St #506,Union City
MLS Listing,,Multi-Family (2-4 Unit),1220 BERGENLINE Ave,Union City
