host_id,host_name,host_since_year,host_since_anniversary,host_since_ann_cleaned,host_since_month,host_since_day,host_since_month_cleaned,host_since_day_cleaned,host_since_date,host_account_age,id,neighborhood,neighborhood_cleaned,city,city_cleaned,state,state_cleaned,zipcode,country,latitude,longitude,location,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1784828,Marjolein,2012,POINT(21.0 2.0),21.0 2.0,2.0,21.0,2,21,2/21/2012,7.01,366067,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1079,Netherlands,52.34646467,4.908560048,POINT(4.908560048 52.34646467),Apartment,Entire home/apt,4,1,1,2,Real Bed,70,2,30,2,within a few hours,0.95,19,95,10,10,10,10,9,9
1793657,Julie,2012,POINT(22.0 2.0),22.0 2.0,2.0,22.0,2,22,2/22/2012,7.01,3565477,Westerpark,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1013 DX,Netherlands,52.3909442,4.876762674,POINT(4.876762674 52.3909442),Apartment,Entire home/apt,3,1,2,2,Real Bed,95,2,10,3,within a few hours,0.93,4,100,10,10,10,10,10,10
1793657,Julie,2012,POINT(22.0 2.0),22.0 2.0,2.0,22.0,2,22,2/22/2012,7.01,3606996,Westerpark,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1013 DX,Netherlands,52.39248285,4.876233878,POINT(4.876233878 52.39248285),Apartment,Private room,2,1,1,1,Real Bed,55,1,25,2,within a few hours,0.93,3,100,10,10,9,10,9,9
1799450,Lucas,2012,POINT(23.0 2.0),23.0 2.0,2.0,23.0,2,23,2/23/2012,7.00,4169622,Centrum-Oost,Center-East,Amsterdam,Amsterdam,North Holland,North Holland,1018AK,Netherlands,52.36842664,4.931463376,POINT(4.931463376 52.36842664),Apartment,Entire home/apt,4,1,2,3,Real Bed,180,1,0,14,within an hour,1,0,95,10,10,10,10,9,9
1801815,Ingrid,2012,POINT(24.0 2.0),24.0 2.0,2.0,24.0,2,24,2/24/2012,7.00,356220,Centrum-Oost,Center-East,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.35989204,4.893966153,POINT(4.893966153 52.35989204),Apartment,Private room,2,1.5,1,2,Real Bed,110,1,0,1,within an hour,1,68,99,10,10,10,10,10,9
1804272,Lotte,2012,POINT(24.0 2.0),24.0 2.0,2.0,24.0,2,24,2/24/2012,7.00,1754306,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1078,Netherlands,52.34709291,4.904833115,POINT(4.904833115 52.34709291),Apartment,Entire home/apt,2,1,2,1,Real Bed,85,2,20,4,within a few hours,1,1,100,10,10,10,10,10,10
1811745,Marre,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,357980,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Amsterdam,North Holland,North Holland,1054 CM,Netherlands,52.36545162,4.875296385,POINT(4.875296385 52.36545162),House,Entire home/apt,6,1.5,3,4,Real Bed,200,3,20,2,within a few hours,0.9,30,96,9,9,10,10,10,9
1811745,Marre,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,2394147,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1015 DC,Netherlands,52.37881654,4.888707774,POINT(4.888707774 52.37881654),Apartment,Entire home/apt,2,1,1,1,Real Bed,135,2,0,2,within a few hours,0.9,15,99,10,10,10,10,10,10
1812619,Masja,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,358155,Centrum-Oost,Center-East,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36311174,4.897870175,POINT(4.897870175 52.36311174),Apartment,Entire home/apt,6,1,2,2,Real Bed,119,2,50,1,within a few hours,1,92,93,9,9,10,10,10,9
1813748,Marlien,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,555382,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1073,Netherlands,52.35607278,4.893418791,POINT(4.893418791 52.35607278),Apartment,Entire home/apt,2,1,1,1,Real Bed,75,1,0,5,N/A,1,6,97,10,10,10,10,10,10
187580,Monique,2010,POINT(1.0 8.0),1.0 8.0,8.0,1.0,8,1,8/1/2010,8.57,253650,Centrum-West,Center-West,Amsterdam,Amsterdam,North Holland,North Holland,1012 VS,Netherlands,52.36775166,4.889815058,POINT(4.889815058 52.36775166),Bed & Breakfast,Entire home/apt,2,1,1,1,Real Bed,139,1,0,2,within an hour,1,120,97,10,10,10,10,10,9
1814038,Alan,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,447138,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.3629831,4.862950219,POINT(4.862950219 52.3629831),Apartment,Entire home/apt,4,1.5,2,2,Real Bed,150,1,0,5,within a few hours,1,9,97,9,9,10,10,10,9
1814252,Ing,2012,POINT(26.0 2.0),26.0 2.0,2.0,26.0,2,26,2/26/2012,7.00,682461,Oud-Oost,Former East,Amsterdam,Amsterdam,North Holland,North Holland,unknown,Netherlands,52.35707454,4.90625725,POINT(4.90625725 52.35707454),Apartment,Entire home/apt,2,1,2,3,Real Bed,120,4,0,3,within a few hours,1,21,99,10,10,10,10,10,9
1817606,Laura,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,6.99,352886,Westerpark,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,unknown,Netherlands,52.37551345,4.87468552,POINT(4.87468552 52.37551345),Apartment,Entire home/apt,4,1,2,2,Real Bed,140,2,35,3,within a few hours,1,6,100,9,10,10,10,9,10
1817922,Olly & Josh,2012,POINT(27.0 2.0),27.0 2.0,2.0,27.0,2,27,2/27/2012,6.99,359298,Centrum-Oost,Center-East,Amsterdam,Amsterdam,North Holland,North Holland,1018 WD,Netherlands,52.3628738,4.910151985,POINT(4.910151985 52.3628738),Apartment,Entire home/apt,3,1,2,2,Real Bed,80,2,40,2,within an hour,1,76,90,9,8,9,9,9,9
