host_id,host_kpi,host_name,host_since_year,host_since_anniversary,host_since_ann_cleaned,host_since_month,host_since_day,host_since_month_cleaned,host_since_day_cleaned,host_since_date,host_account_age,id,neighborhood,neighborhood_cleaned,city,neighborhood_kpi,city_cleaned,state,state_cleaned,zipcode,country,latitude,longitude,location,property_type,room_type,accommodates,bathrooms,bedrooms,bedrooms_kpi,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,number_of_reviews_kpi,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,apx_number_of_stays,est_daily_revenue_include0,est_daily_revenue_include1,est_daily_revenue_include>1,est_daily_revenue,est_revenue_per_booking,est_total_revenue,est_yearly_revenue
1778815,Low,Jochem,2012,POINT(20.0 2.0),20.0 2.0,2.0,20.0,2,20,2/20/2012,7.01,2247902,De Baarsjes - Oud-West,The Baarsjes - Old West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1053 GH,Netherlands,52.36526841,4.861057883,POINT(4.861057883 52.36526841),Apartment,Entire home/apt,2,1,2,2,1,Real Bed,100,2,0,2,within an hour,1,12,Low,96,10,10,10,10,9,9,24,,,100,100,200,4800,684.31
1780142,Low,Cara,2012,POINT(20.0 2.0),20.0 2.0,2.0,20.0,2,20,2/20/2012,7.01,1038153,Zuid,South,Amsterdam,Low,Amsterdam,North Holland,North Holland,1059,Netherlands,52.34709677,4.851546617,POINT(4.851546617 52.34709677),Apartment,Entire home/apt,4,1,2,2,3,Real Bed,120,3,40,2,within a few hours,1,32,Low,97,10,10,10,10,9,10,64,,,120,120,240,15360,2189.79
1784454,Low,Hendriek,2012,POINT(21.0 2.0),21.0 2.0,2.0,21.0,2,21,2/21/2012,7.01,1780600,Westerpark,Westerpark,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1051 XP,Netherlands,52.3812941,4.872396033,POINT(4.872396033 52.3812941),Apartment,Entire home/apt,3,1,1,1,1,Real Bed,69,2,25,1,within a few hours,0.78,6,Low,87,9,8,9,10,8,8,12,,,69,69,69,828,118.09
187580,Low,Monique,2010,POINT(1.0 8.0),1.0 8.0,8.0,1.0,8,1,8/1/2010,8.57,42970,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1012,Netherlands,52.3696163,4.888086949,POINT(4.888086949 52.3696163),Bed & Breakfast,Entire home/apt,2,1,1,1,1,Real Bed,139,1,0,2,within an hour,1,215,High,97,10,10,10,10,10,9,430,,139,,139,278,119540,13947.61
1784828,Low,Marjolein,2012,POINT(21.0 2.0),21.0 2.0,2.0,21.0,2,21,2/21/2012,7.01,366067,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1079,Netherlands,52.34646467,4.908560048,POINT(4.908560048 52.34646467),Apartment,Entire home/apt,4,1,1,1,2,Real Bed,70,2,30,2,within a few hours,0.95,19,Low,95,10,10,10,10,9,9,38,,,70,70,140,5320,758.74
1793657,Low,Julie,2012,POINT(22.0 2.0),22.0 2.0,2.0,22.0,2,22,2/22/2012,7.01,3565477,Westerpark,Westerpark,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1013 DX,Netherlands,52.3909442,4.876762674,POINT(4.876762674 52.3909442),Apartment,Entire home/apt,3,1,2,2,2,Real Bed,95,2,10,3,within a few hours,0.93,4,Low,100,10,10,10,10,10,10,8,,,95,95,285,2280,325.30
1793657,Low,Julie,2012,POINT(22.0 2.0),22.0 2.0,2.0,22.0,2,22,2/22/2012,7.01,3606996,Westerpark,Westerpark,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1013 DX,Netherlands,52.39248285,4.876233878,POINT(4.876233878 52.39248285),Apartment,Private room,2,1,1,1,1,Real Bed,55,1,25,2,within a few hours,0.93,3,Low,100,10,10,9,10,9,9,6,,80,,80,160,960,136.97
1799450,Low,Lucas,2012,POINT(23.0 2.0),23.0 2.0,2.0,23.0,2,23,2/23/2012,7.01,4169622,Centrum-Oost,Center-East,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1018AK,Netherlands,52.36842664,4.931463376,POINT(4.931463376 52.36842664),Apartment,Entire home/apt,4,1,2,2,3,Real Bed,180,1,0,14,within an hour,1,0,Low,95,10,10,10,10,9,9,0,,180,,180,2520,0,0.00
1801815,Low,Ingrid,2012,POINT(24.0 2.0),24.0 2.0,2.0,24.0,2,24,2/24/2012,7.00,356220,Centrum-Oost,Center-East,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1017,Netherlands,52.35989204,4.893966153,POINT(4.893966153 52.35989204),Apartment,Private room,2,1.5,1,1,2,Real Bed,110,1,0,1,within an hour,1,68,Medium,99,10,10,10,10,10,9,136,,110,,110,110,14960,2136.10
1804272,Low,Lotte,2012,POINT(24.0 2.0),24.0 2.0,2.0,24.0,2,24,2/24/2012,7.00,1754306,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1078,Netherlands,52.34709291,4.904833115,POINT(4.904833115 52.34709291),Apartment,Entire home/apt,2,1,2,2,1,Real Bed,85,2,20,4,within a few hours,1,1,Low,100,10,10,10,10,10,10,2,,,85,85,340,680,97.10
